francais,fon,pluriel,vu_dans
"Confirmer le mot de passe",,,resources/views/profile/partials/update-password-form.blade.php:29
"Confirmez votre mot de passe",,,resources/views/auth/register.blade.php:68
Conformité,,,resources/views/legal/security.blade.php:25
"Conformité RGPD",,,resources/views/about.blade.php:20
"Conformément au RGPD, vous disposez des droits suivants :",,,resources/views/legal/privacy.blade.php:41
"Connectez-vous pour gérer la présence de vos groupes.",,,resources/views/auth/login.blade.php:4
Connexion,,,resources/views/layouts/public.blade.php:34
"Consentement RGPD enregistré.",,,app/Http/Controllers/RgpdController.php:29
"Consentement RGPD obtenu (oral/écrit)",,,resources/views/membres/index.blade.php:83
"Consentement RGPD retiré.",,,app/Http/Controllers/RgpdController.php:40
"Consentement accordé",,,resources/views/rgpd/index.blade.php:107
"Consentement de vos membres",,,resources/views/rgpd/index.blade.php:19
"Consentement enregistré pour chaque membre",,,resources/views/legal/privacy.blade.php:35
"Consentement non accordé",,,resources/views/rgpd/index.blade.php:112
"Consultez et analysez les données de présence.",,,resources/views/statistiques.blade.php:4
"Consultez les statistiques",,,resources/views/documentation.blade.php:14
Contact,,,resources/views/contact.blade.php:5
"Contact administrateur (pour recevoir les résumés)",,,resources/views/alerts/index.blade.php:187
"Critique (<30%)",,,resources/views/membres/index.blade.php:292
"Création de compte sécurisée",,,resources/views/demo.blade.php:63
"Créer mon compte",,,resources/views/auth/register.blade.php:76
"Créer un compte",,,resources/views/layouts/public.blade.php:37
"Créez votre compte et testez les fonctionnalités",,,resources/views/demo.blade.php:98
"Créez votre compte et votre premier groupe",,,resources/views/documentation.blade.php:11
Date,,,resources/views/rgpd/index.blade.php:34
"Date :",,,resources/views/pdf/statistiques.blade.php:97
"Date de début",,,resources/views/heatmap/index.blade.php:15
"Date de fin",,,resources/views/heatmap/index.blade.php:20
Diminution,,,resources/views/statistiques-avancees.blade.php:85
"Document généré automatiquement par le système de vérification de présence",,,resources/views/pdf/statistiques.blade.php:149
Documentation,,,resources/views/documentation.blade.php:5
"Donner mon consentement",,,resources/views/rgpd/index.blade.php:121
"Données collectées",,,resources/views/legal/privacy.blade.php:11
"Données collectées sur les membres",,,resources/views/rgpd/index.blade.php:68
"Données de présence (date, heure)",,,resources/views/legal/privacy.blade.php:16
"Droit d'accès à leurs données",,,resources/views/rgpd/index.blade.php:86
"Droit d'accès à vos données",,,resources/views/legal/privacy.blade.php:43
"Droit d'opposition",,,resources/views/legal/privacy.blade.php:47
"Droit de portabilité",,,resources/views/legal/privacy.blade.php:46
"Droit de rectification",,,resources/views/legal/privacy.blade.php:44
"Droit à l'effacement",,,resources/views/legal/privacy.blade.php:45
"Droits de vos membres",,,resources/views/rgpd/index.blade.php:84
Déconnexion,,,resources/views/layouts/navigation.blade.php:92
"Découvrez les fonctionnalités en action",,,resources/views/demo.blade.php:5
"Déjà un compte ?",,,resources/views/auth/register.blade.php:80
"Délai avant alerte (minutes)",,,resources/views/alerts/index.blade.php:114
Démonstration,,,resources/views/demo.blade.php:1
"Démonstration du système",,,resources/views/demo.blade.php:4
Email,,,resources/views/alerts/index.blade.php:196
"Email (bientôt disponible)",,,resources/views/alerts/index.blade.php:179
"Email :",,,resources/views/contact.blade.php:13
"En attente d'un scan…",,,resources/views/sessions/open.blade.php:34
"En utilisant l'application, vous vous engagez à :",,,resources/views/legal/terms.blade.php:29
Enregistrer,,,resources/views/profile/partials/update-profile-information-form.blade.php:51
"Enregistrer les paramètres",,,resources/views/alerts/index.blade.php:204
"Enregistrer les présences",,,resources/views/dashboardV.blade.php:54
"Enregistrer tous les membres",,,resources/views/membres/index.blade.php:97
"Enregistrer un ou plusieurs nouveaux membres",,,resources/views/dashboard.blade.php:46
Enregistré.,,,resources/views/profile/partials/update-profile-information-form.blade.php:60
"Envoyer le lien de réinitialisation",,,resources/views/auth/forgot-password.blade.php:21
"Envoyer rappel (heures avant)",,,resources/views/alerts/index.blade.php:158
"Envoyer une alerte X minutes après le début",,,resources/views/alerts/index.blade.php:120
"Erreur inconnue.",,,resources/views/sessions/open.blade.php:67
"Erreur réseau, réessayez.",,,resources/views/sessions/open.blade.php:68
"Ex. : Groupe de prière, Chorale…",,,resources/views/auth/register.blade.php:31
Excellent,,,resources/views/statistiques-avancees.blade.php:138
"Excellent (≥90%)",,,resources/views/membres/index.blade.php:276
"Export PDF",,,resources/views/documentation.blade.php:34
"Export PDF des statistiques",,,resources/views/demo.blade.php:25
"Exporter PDF",,,resources/views/statistiques.blade.php:85
"Exportez vos rapports",,,resources/views/documentation.blade.php:35
FAQ,,,resources/views/faq.blade.php:5
"Faible (≥30%)",,,resources/views/membres/index.blade.php:288
Fermer,,,resources/views/membres/index.blade.php:44
"Fermer la session",,,resources/views/dashboard.blade.php:86
"Fermer la session ?",,,resources/views/sessions/open.blade.php:54
"Fermer le menu",,,resources/views/layouts/navigation.blade.php:29
"Filtrer les résultats",,,resources/views/statistiques.blade.php:28
"Filtres de recherche",,,resources/views/statistiques.blade.php:10
"Finalité du traitement",,,resources/views/rgpd/index.blade.php:77
Fonctionnalités,,,resources/views/components/footer.blade.php:9
"Fonctionnalités avancées",,,resources/views/documentation.blade.php:19
"Fournir des informations exactes",,,resources/views/legal/terms.blade.php:31
"Gestion des membres",,,resources/views/membres/index.blade.php:40
"Gestion des membres par groupes",,,resources/views/about.blade.php:15
"Gestion des présences pour les réunions et événements de l'organisation.",,,resources/views/rgpd/index.blade.php:79
"Graphiques et classements",,,resources/views/demo.blade.php:24
Groupe(s),,,resources/views/membres/edit.blade.php:52
"Groupe(s) :",,,resources/views/pdf/statistiques.blade.php:93
Groupes,,,resources/views/membres/index.blade.php:114
"Guide de démarrage",,,resources/views/documentation.blade.php:9
"Généré le :",,,resources/views/pdf/statistiques.blade.php:101
Heure,,,resources/views/statistiques.blade.php:96
"Heure d'arrivée",,,resources/views/pdf/statistiques.blade.php:127
"Heure de début d'événement",,,resources/views/alerts/index.blade.php:106
"Heure la plus active",,,resources/views/heatmap/index.blade.php:49
"Horaires :",,,resources/views/contact.blade.php:21
"Hors ligne",,,resources/views/offline.blade.php:6
"Hébergement sécurisé · Conforme RGPD · Données chiffrées en transit",,,resources/views/components/footer.blade.php:32
"Il semble que vous n'ayez pas de connexion internet. Vérifiez votre connexion et réessayez.",,,resources/views/offline.blade.php:19
"Impossible d'accéder à la caméra. Vérifiez les autorisations du navigateur.",,,resources/views/sessions/open.blade.php:69
"Imprimez la carte de chaque membre et scannez-la pendant la session",,,resources/views/documentation.blade.php:23
"Informations du profil",,,resources/views/profile/partials/update-profile-information-form.blade.php:4
"Interface de gestion",,,resources/views/demo.blade.php:18
"Interface simple pour marquer les présences",,,resources/views/features.blade.php:15
"L'application de vérification de présence a été conçue pour simplifier la gestion des présences lors de réunions, formations et événements. Notre objectif est de fournir un outil simple, efficace et sécurisé.",,,resources/views/about.blade.php:10
"L'application est destinée à :",,,resources/views/legal/terms.blade.php:19
"L'organisation de réunions et formations",,,resources/views/legal/terms.blade.php:23
"L'utilisateur est responsable de l'utilisation qu'il fait de l'application et des données qu'il y saisit. Nous nous efforçons de maintenir la disponibilité du service mais ne garantissons pas une disponibilité de 100 %.",,,resources/views/legal/terms.blade.php:41
"La gestion des présences",,,resources/views/legal/privacy.blade.php:24
"La gestion des présences lors d'événements",,,resources/views/legal/terms.blade.php:21
"La génération de statistiques",,,resources/views/legal/privacy.blade.php:25
"La génération de statistiques de présence",,,resources/views/legal/terms.blade.php:22
"La mise en place d'un groupe prend moins de deux minutes.",,,resources/views/welcome.blade.php:60
"La présence de vos groupes, <span class=""text-accent"">simplement</span> suivie",,,resources/views/welcome.blade.php:6
"Le :date",,,resources/views/rgpd/index.blade.php:109
"Le nom de votre groupe ou organisation. Vous pourrez ajouter d'autres co-responsables ensuite.",,,resources/views/auth/register.blade.php:34
"Le numéro de téléphone ne peut contenir que des chiffres et le symbole +",,,app/Http/Controllers/PresenceController.php:56
"Les données sont-elles sécurisées ?",,,resources/views/faq.blade.php:19
"Les présentes conditions générales d'utilisation (CGU) régissent l'utilisation de l'application de vérification de présence. En utilisant cette application, vous acceptez ces conditions.",,,resources/views/legal/terms.blade.php:13
"Les échanges avec le serveur sont chiffrés et les données sont hébergées en Europe. Le consentement de chaque membre est enregistré.",,,resources/views/faq.blade.php:20
"Liste des membres",,,resources/views/membres/index.blade.php:4
"Liste des présences",,,resources/views/pdf/statistiques.blade.php:119
"Lundi au vendredi, 9 h - 18 h",,,resources/views/contact.blade.php:22
Légal,,,resources/views/components/footer.blade.php:21
"Marquer les présents manuellement",,,resources/views/dashboard.blade.php:37
"Meilleur jour",,,resources/views/heatmap/index.blade.php:133
Membre,,,resources/views/membres/index.blade.php:108
"Membre modifié.",,,app/Http/Controllers/PresenceController.php:303
"Membre supprimé.",,,app/Http/Controllers/PresenceController.php:321
Membres,,,resources/views/layouts/navigation.blade.php:47
"Membres n'ayant pas pointé",,,resources/views/alerts/index.blade.php:56
"Merci pour votre inscription. Avant de commencer, vérifiez votre adresse email en cliquant sur le lien que nous venons de vous envoyer. Si vous ne l'avez pas reçu, nous vous en renverrons un.",,,resources/views/auth/verify-email.blade.php:3
"Mes groupes",,,resources/views/dashboard.blade.php:62
"Message d'alerte personnalisé",,,resources/views/alerts/index.blade.php:127
"Mesures de sécurité",,,resources/views/legal/security.blade.php:11
"Mettez à jour les informations de votre compte et votre adresse email.",,,resources/views/profile/partials/update-profile-information-form.blade.php:8
"Mettre à jour",,,resources/views/membres/edit.blade.php:72
"Modification des CGU",,,resources/views/legal/terms.blade.php:46
Modifier,,,resources/views/membres/index.blade.php:181
"Modifier le membre",,,resources/views/membres/edit.blade.php:4
"Modifier le mot de passe",,,resources/views/profile/partials/update-password-form.blade.php:4
Moins,,,resources/views/heatmap/index.blade.php:64
"Mot de passe",,,resources/views/profile/partials/delete-user-form.blade.php:31
"Mot de passe actuel",,,resources/views/profile/partials/update-password-form.blade.php:17
"Mot de passe oublié ?",,,resources/views/auth/login.blade.php:48
"Mot de passe oublié ? Indiquez votre adresse email : nous vous enverrons un lien pour en choisir un nouveau.",,,resources/views/auth/forgot-password.blade.php:3
"Moy. par événement",,,resources/views/heatmap/index.blade.php:45
"Moyen (≥50%)",,,resources/views/membres/index.blade.php:284
"Moyenne / jour",,,resources/views/statistiques-avancees.blade.php:56
Méthode,,,resources/views/rgpd/index.blade.php:35
"Ne pas utiliser l'application à des fins illégales",,,resources/views/legal/terms.blade.php:33
"Niveaux de régularité :",,,resources/views/membres/index.blade.php:272
Nom,,,resources/views/profile/partials/update-profile-information-form.blade.php:21
"Nom complet",,,resources/views/auth/register.blade.php:12
"Nom du groupe",,,resources/views/auth/register.blade.php:26
